股票代码,股票名称,D-0日期,D-1振幅,D-0振幅,D-0/D-1成交额百分比,T+0(低/高),T+1最高价,T+2最高价,T+3最高价,T+4最高价,T+5最高价,T+6最高价
301079,邵阳液压,2024-07-25,21.85,7.83,204.98%,-3%/19%(阳),41%,25%,20%,13%,9%,-2%
301079,邵阳液压,2026-01-08,24.19,6.05,52.03%,11%/20%(阳),41%(板),34%,20%,8%,2%,-1%
301080,百普赛斯,2026-08-10,21.13,9.45,247.4%,-1%/14%(阳),10%,20%,17%,23%,21%,19%
301085,亚康股份,2022-02-21,18.58,6.13,115.67%,-7%/10%(阴),2%,-8%,-10%,-13%,-11%,-11%
301088,戎美股份,2022-04-22,20.16,13.46,218.63%,-20%/4%(阴),-22%,-28%,-27%,-28%,-27%,-24%
301089,拓新药业,2022-03-01,16.2,20.99,126.69%,0%/14%(阴),21%,14%,14%,19%,23%,25%
301089,拓新药业,2025-05-16,20.02,19.6,197.11%,-10%/7%(阳),9%,7%,0%,-4%,-12%,-11%
301103,何氏眼科,2023-04-27,1.99,11.22,434.12%,-2%/5%(阳),5%,3%,0%,-3%,-1%,0%
301106,骏成科技,2026-08-19,13.03,18.46,452.7%,-13%/-1%(阴),-6%,-14%,-17%,-18%,-19%,-20%
301110,青木科技,2025-06-12,17.6,17.83,135.24%,-15%/-5%(阴),-7%,-14%,-20%,-21%,-25%,-25%
301111,粤万年青,2025-11-27,20.73,23.66,293.17%,-14%/-8%(阴),-3%,-6%,9%,18%,7%,-2%
301137,哈焊华通,2023-08-18,20.8,19.6,169.01%,-2%/17%(阴),4%,2%,-5%,-19%,-19%,-12%(板)
301150,中一科技,2025-11-17,23.55,19.01,146.59%,-14%/1%(阴),-10%,-16%,-23%,-27%,-28%,-28%
301151,冠龙节能,2024-08-14,22.86,19.45,235.52%,-8%/6%(阴),-9%,-22%,-23%,-24%,-27%,-30%
301158,德石股份,2022-03-03,17.15,13.1,77.31%,-5%/12%(阴),-2%,-10%,-14%,-15%,-19%,-22%
301158,德石股份,2026-03-03,17.38,15.51,164.93%,-20%/-6%(阴),-13%,-20%,-9%,-23%,-24%,-23%
301169,零点有数,2022-01-18,17.88,0.0,34.18%,10%/20%(板),39%,38%,25%,18%,9%,-6%
301176,逸豪新材,2024-06-04,21.24,10.42,238.96%,-6%/12%(阳),27%(板),25%,28%(板),38%,52%,52%
301176,逸豪新材,2026-06-15,19.59,11.33,52.8%,12%/19%(板),20%,17%,16%,11%,13%,12%
